Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Butch Beard,,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA,NA
Dave Twardzik,91.1,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA,NA
Ben Gordon,87.7,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6
Ricky Rubio,87.1,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA,NA
Johnny Moore,87.0,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA,NA
Ronnie Brewer,86.9,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA,NA
Clem Haskins,86.3,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA
Kevin Porter,85.4,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA
Bryant Stith,85.3,6.8,5.6,5.2,4.8,3,1.6,1.6,0.7,0.5,-0.3,NA
Danny Green,85.1,7.8,5.9,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1,NA
Steve Jones,85.1,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA
