Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Steven Hunter,,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1,NA
Jake Voskuhl,85.3,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3
Jake Tsakalidis,83.7,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA
Jeff Wilkins,82.8,2.4,2.3,2.3,1,0.5,0.3,NA,NA,NA
Ekpe Udoh,82.3,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA
Hub Reed,81.7,2.8,2,1.7,1.3,1,0.6,0,NA,NA
Miles Plumlee,78.7,4,2.6,2.2,0.9,0.5,0.5,0,NA,NA
Victor Alexander,77.9,3,2.5,2.3,1.1,-0.1,NA,NA,NA,NA
Meyers Leonard,77.7,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA
Francisco Elson,77.0,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0
Carlos Rogers,76.1,4,2.2,2,0.9,0.9,0.5,0.5,0,NA
