,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1957-58,24,BOS,NBA,,6,,7,8,,,5,15
1958-59,25,BOS,NBA,,10,,8,9,,,5,24
1959-60,26,BOS,NBA,,12,,10,13,,,6,28
1960-61,27,BOS,NBA,,16,,12,15,,,6,44
1961-62,28,BOS,NBA,,15,,15,15,,,,36
1962-63,29,BOS,NBA,,15,,11,14,,,,37
1963-64,30,BOS,NBA,,16,,9,13,,,,36
1964-65,31,BOS,NBA,,17,,12,13,,,,44
1965-66,32,BOS,NBA,,21,,10,14,,,,51
1966-67,33,BOS,NBA,,18,,13,14,,,,42
1967-68,34,BOS,NBA,,17,,11,12,,,,39
1968-69,35,BOS,NBA,,18,,7,8,,,,39
Career,,,,,21,,15,15,,,,51
