Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,22,NYK,NBA,SG,56,NA,4.5,0.5,1.4,0.37,NA,NA,NA,0.5,1.4,0.37,0.37,0.4,0.6,0.706,NA,NA,0.5,0.2,NA,NA,1,1.5
1971-72,23,TOT,TOT,SG,10,NA,6.5,0.8,2.3,0.348,0,0,NA,0.8,2.3,0.348,0.348,0.9,1.1,0.818,0.1,NA,1.1,0.7,NA,0.4,1.4,2.5
1971-72,23,NYK,NBA,SG,6,NA,6.7,0.8,2.3,0.357,NA,NA,NA,0.8,2.3,0.357,0.357,1.5,1.8,0.818,NA,NA,1,1,NA,NA,1.7,3.2
1971-72,23,INA,ABA,SG,4,NA,6.3,0.8,2.3,0.333,0,0,NA,0.8,2.3,0.333,0.333,0,0,NA,0.3,1,1.3,0.3,NA,1,1,1.5
1972-73,24,PHI,NBA,SG,57,NA,13.2,2.2,5.3,0.415,NA,NA,NA,2.2,5.3,0.415,0.415,0.7,0.8,0.809,NA,NA,2.1,1.2,NA,NA,1.9,5.1
Career,NA,,TOT,,123,NA,8.7,1.3,3.3,0.402,0,0,NA,1.3,3.3,0.402,0.402,0.6,0.7,0.772,0.3,1,1.3,0.7,NA,1,1.4,3.2
,NA,,NBA,,119,NA,8.8,1.3,3.3,0.404,NA,NA,NA,1.3,3.3,0.404,0.404,0.6,0.8,0.772,NA,NA,1.3,0.7,NA,NA,1.5,3.3
,NA,,ABA,,4,NA,6.3,0.8,2.3,0.333,0,0,NA,0.8,2.3,0.333,0.333,0,0,NA,0.3,1,1.3,0.3,NA,1,1,1.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,62,NA,4.7,0.6,1.5,0.368,NA,NA,NA,0.6,1.5,0.368,0.368,0.5,0.7,0.733,NA,NA,0.6,0.3,NA,NA,1.1,1.7
1 season,NA,PHI,NBA,,57,NA,13.2,2.2,5.3,0.415,NA,NA,NA,2.2,5.3,0.415,0.415,0.7,0.8,0.809,NA,NA,2.1,1.2,NA,NA,1.9,5.1
1 season,NA,INA,ABA,,4,NA,6.3,0.8,2.3,0.333,0,0,NA,0.8,2.3,0.333,0.333,0,0,NA,0.3,1,1.3,0.3,NA,1,1,1.5
