Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dwayne Schintzius,,0.4,0.3,0.2,0.2,0.1,0,-0.1,-0.2
Dave Feitl,59.5,0.5,0.4,0.3,0.2,0.1,NA,NA,NA
Shawnelle Scott,52.7,0.5,0.4,0.2,0.2,NA,NA,NA,NA
Olumide Oyedeji,36.4,0.4,0.4,0.3,NA,NA,NA,NA,NA
Daniel Orton,35.5,0.5,0.3,0.3,NA,NA,NA,NA,NA
Mamadou N'Diaye,29.2,0.8,0.6,0.3,0.2,0,NA,NA,NA
Hamed Haddadi,24.6,0.6,0.6,0.4,0.1,0,NA,NA,NA
Mike Smrek,22.3,0.4,0.4,0.1,0,0,-0.1,-0.2,NA
Didier Ilunga-Mbenga,21.3,0.6,0.5,0.5,0.4,0.3,0.1,0,NA
Jabari Smith,18.1,0.7,0.5,0.2,0,NA,NA,NA,NA
Eric Riley,17.5,0.7,0.6,0.5,0.4,0.3,NA,NA,NA
