Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,29,SEA,NBA,SG,74,NA,2670,9.3,19.4,0.481,3.2,3.7,0.866,1.5,3.5,5,4.3,1.5,0.4,NA,4.2,21.8,NA,NA,101
1974-75,30,CLE,NBA,SG,82,NA,2590,9.2,18.2,0.504,3,3.6,0.846,0.7,3.7,4.4,5.2,1.3,0.8,NA,4.2,21.4,NA,NA,100
1975-76,31,CLE,NBA,SG,82,NA,2274,9.2,18.3,0.501,3.2,3.9,0.824,1,3.1,4.1,4.6,1.2,0.7,NA,4.5,21.5,NA,NA,100
1976-77,32,CLE,NBA,SG,82,NA,1685,8.9,19.4,0.456,3.6,4.2,0.852,1.3,2.9,4.2,4.5,1.3,0.8,NA,5,21.3,NA,NA,102
1977-78,33,CLE,NBA,SG,58,NA,660,7.9,17.7,0.444,3.9,4.5,0.875,0.6,2.8,3.4,3.9,1.6,1.3,3.4,5.2,19.7,NA,97,102
1978-79,34,SEA,NBA,SG,56,NA,536,7,16.2,0.433,3.7,4.4,0.843,1.3,2.9,4.2,5.5,1.2,0.5,3.1,4.5,17.8,NA,101,104
Career,NA,,NBA,,434,NA,10415,9,18.6,0.482,3.3,3.9,0.85,1.1,3.3,4.4,4.6,1.3,0.7,0.4,4.4,21.2,NA,98,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CLE,NBA,,304,NA,7209,9,18.5,0.486,3.3,3.9,0.844,0.9,3.2,4.2,4.7,1.3,0.8,0.3,4.5,21.3,NA,97,101
2 seasons,NA,SEA,NBA,,130,NA,3206,9,18.9,0.475,3.3,3.8,0.862,1.4,3.4,4.9,4.5,1.4,0.4,0.5,4.2,21.2,NA,101,101
