Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
John Thomas,,1.5,0.9,0.4,0.4,0
Reggie Slater,88.2,1.5,0.8,0.4,0.2,-0.1
Hilton Armstrong,84.3,1.5,1.2,0.5,0.5,-0.1
Tony Campbell,82.7,1.4,1.1,0.4,0.4,-0.3
Byron Houston,80.6,1.8,0.9,0.7,0.5,NA
Joe Ellis,79.6,1.3,1,0.5,0.4,-0.3
Jarell Martin,77.2,1.3,0.8,0.6,0.5,NA
Chris Crawford,77.1,1.3,0.9,0.6,0.6,0.1
Stanley Johnson,77.0,1.8,0.6,0.5,0.4,NA
Julian Wright,75.5,1.7,0.8,0.8,0.6,NA
Yi Jianlian,75.3,1.3,0.7,0.7,0.4,0
