Season,Team,Lg,Salary
1997-98,Utah Jazz,NBA,"$601,320"
1998-99,Utah Jazz,NBA,"$691,560"
1999-00,Utah Jazz,NBA,"$781,800"
2000-01,Utah Jazz,NBA,"$1,500,000"
2001-02,Atlanta Hawks,NBA,"$590,850"
2002-03,Orlando Magic,NBA,"$699,935"
2003-04,Atlanta Hawks,NBA,"$813,679"
2004-05,New Jersey Nets,NBA,"$932,546"
2005-06,New Jersey Nets,NBA,"$1,094,550"
2006-07,San Antonio Spurs,NBA,"$1,071,225"
2007-08,San Antonio Spurs,NBA,"$1,219,950"
2008-09,San Antonio Spurs,NBA,"$1,262,275"
Career,(may be incomplete),,"$11,259,690"
