Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jahidi White,,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,NA,NA,NA
Dwight Davis,87.6,3.7,3.3,2.3,1.5,0.6,NA,NA,NA,NA,NA
Stacey King,87.5,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2,NA,NA
Dave Budd,86.1,4.1,3.2,2.3,1.2,0.9,NA,NA,NA,NA,NA
Chuck Cooper,85.9,3.3,3.1,2.4,1.7,1.1,0,NA,NA,NA,NA
Derrek Dickey,83.2,3.8,3.1,2.3,1.7,0.3,NA,NA,NA,NA,NA
Collis Jones,82.5,4.2,3.2,2.1,1.2,NA,NA,NA,NA,NA,NA
Ira Newble,82.1,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1,NA,NA
Don Collins,82.0,3.5,3.4,2.6,0.9,0,0,NA,NA,NA,NA
Frank Kaminsky,82.0,3.6,3.3,2.3,1.8,NA,NA,NA,NA,NA,NA
Terry Davis,81.7,3.6,3.1,2,1.4,0.5,0.5,0.5,0.4,0.2,-0.1
